# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
A,A,AGILENT TECHNOLOGIES INC,Health Care,Health Care,sector,XLV,SPY
AAMI,AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,Financials,sector,XLF,IWM
AAP,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
AAPL,AAPL,APPLE INC,Technology,Technology,sector,XLK,NDX|SPY
AAT,AAT,AMERICAN ASSETS TRUST REIT,Real Estate,Real Estate,sector,XLRE,IWM
ABAT,ABAT,AMERICAN BATTERY TECHNOLOGY COMPAN,Materials,Materials,sector,XLB,IWM
ABBV,ABBV,ABBVIE INC,Health Care,Health Care,sector,XLV,SPY
ABCB,ABCB,AMERIS BANCORP,Financials,Financials,sector,XLF,IWM
ABEO,ABEO,ABEONA THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
ABG,ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ABM,ABM,ABM INDUSTRIES INC,Industrials,Industrials,sector,XLI,IWM
ABNB,ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Consumer Discretionary,sector,XLY,NDX|SPY
ABOS,ABOS,ACUMEN PHARMACEUTICALS INC,Health Care,Health Care,sector,XLV,IWM
ABR,ABR,ARBOR REALTY TRUST REIT,Financials,Financials,sector,XLF,IWM
ABSI,ABSI,ABSCI CORP,Health Care,Health Care,sector,XLV,IWM
ABT,ABT,ABBOTT LABORATORIES,Health Care,Health Care,sector,XLV,SPY
ABUS,ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Health Care,sector,XLV,IWM
ABX,ABX,ABACUS GLOBAL MANAGEMENT INC CLASS,Financials,Financials,sector,XLF,IWM
ACA,ACA,ARCOSA,Industrials,Industrials,sector,XLI,IWM
ACAD,ACAD,ACADIA PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
ACCO,ACCO,ACCO BRANDS CORP,Industrials,Industrials,sector,XLI,IWM
ACDC,ACDC,PROFRAC HOLDING CLASS A,Energy,Energy,sector,XLE,IWM
ACEL,ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ACGL,ACGL,ARCH CAPITAL GROUP LTD,Financials,Financials,sector,XLF,SPY
ACH,ACH,ACCENDRA HEALTH,Health Care,Health Care,sector,XLV,IWM
ACHC,ACHC,ACADIA HEALTHCARE COMPANY,Health Care,Health Care,sector,XLV,IWM
